self_employed,income_annum,loan_amount,loan_term,cibil_score,assets,loan_status
No,718470,303056,15,732,1023027,Rejected
Yes,966589,131644,10,693,165264,Rejected
Yes,781913,164392,10,762,1092885,Approved
No,776674,118597,10,678,1602567,Rejected
No,647210,164562,15,740,324257,Rejected
No,431297,152349,15,686,1302406,Rejected
No,399170,286631,20,671,781541,Rejected
No,610154,134764,15,729,542642,Approved
No,879356,214442,20,782,693311,Approved
No,1250722,155981,10,737,1364783,Approved
Yes,1151940,23949,15,660,1430537,Rejected
No,854394,183616,10,690,687534,Rejected
No,402557,209764,15,739,578331,Rejected
No,705796,248558,10,658,1131786,Rejected
No,569440,259679,15,752,1897469,Rejected
Yes,529770,305542,20,679,1024549,Rejected
No,626035,131565,15,699,1232642,Rejected
No,1013630,173089,20,678,1127781,Rejected
No,834182,232139,20,703,1018325,Approved
Yes,845551,139180,10,715,1237296,Approved
No,639691,218437,20,792,789152,Rejected
Yes,655485,264285,20,721,185281,Rejected
No,778366,155614,10,833,740521,Approved
No,411554,265687,10,715,123978,Rejected
No,1052160,155991,15,697,1051692,Rejected
No,915640,214734,15,803,-28676,Rejected
Yes,726131,292317,15,777,819386,Rejected
No,712984,300991,10,757,808989,Rejected
Yes,467682,264953,20,758,1839108,Rejected
Yes,652398,32491,20,755,1310864,Approved
No,368462,199657,20,730,1436143,Rejected
Yes,1150500,234562,15,687,1024741,Rejected
No,792780,233763,15,783,879866,Approved
No,975719,258896,10,715,830329,Approved
No,538517,165481,15,756,1108759,Approved
No,750820,127049,10,674,1136878,Rejected
Yes,468242,156039,15,624,1171618,Rejected
No,568819,183083,10,710,723945,Approved
Yes,262996,156978,10,802,1077429,Rejected
No,850425,205076,10,741,840078,Approved
Yes,1020336,263817,15,643,1182240,Rejected
Yes,687531,92855,15,731,709103,Approved
No,719796,99143,15,636,514685,Rejected
No,538954,127773,15,642,534700,Rejected
No,589191,232296,10,654,1488318,Rejected
Yes,700718,196160,10,795,972412,Approved
No,900120,321907,10,770,686048,Rejected
No,738533,68674,20,760,436764,Approved
No,1174707,59689,20,816,1137444,Approved
No,862274,287279,20,675,991894,Rejected
No,828183,281563,15,658,530884,Rejected
No,635267,148851,15,716,836472,Approved
No,552989,235882,10,770,649345,Rejected
No,542248,273866,20,729,785052,Rejected
No,463750,135757,15,689,992726,Rejected
Yes,668312,80244,10,646,529797,Rejected
Yes,733913,185611,10,720,1008715,Approved
Yes,956225,221231,20,713,686633,Approved
Yes,973874,182391,15,639,238744,Rejected
No,892969,152869,10,746,787510,Approved
No,871954,306825,20,798,951157,Rejected
No,893136,234117,15,665,919902,Rejected
Yes,851625,331354,10,712,989319,Rejected
Yes,835173,178104,15,733,505163,Approved
Yes,1047225,283103,20,725,1009940,Approved
No,646405,146605,20,614,1127654,Rejected
No,868663,201049,20,746,1390464,Approved
Yes,730272,164440,15,674,336142,Rejected
No,673732,327068,15,806,1244113,Rejected
Yes,318549,183736,15,775,852326,Rejected
No,1208133,159858,20,642,1462812,Rejected
No,866676,236440,10,679,727415,Rejected
No,1051343,142920,10,739,378427,Approved
No,834390,283145,20,725,728971,Rejected
No,799138,148228,10,671,972240,Rejected
No,333523,261019,15,697,818707,Rejected
No,450185,239110,10,718,493367,Rejected
No,888904,244273,10,755,2170816,Approved
No,926678,148065,15,596,373915,Rejected
Yes,819514,297287,20,808,1442694,Rejected
No,894976,97187,10,739,1082537,Approved
No,954408,185289,15,709,735209,Approved
No,550268,232584,10,659,2074654,Rejected
No,722485,271558,10,608,368779,Rejected
Yes,819668,185415,15,752,1264367,Approved
No,682034,118180,10,662,1074372,Rejected
No,818772,115023,10,666,1664369,Rejected
Yes,442416,136942,15,701,828907,Approved
Yes,761389,181221,20,764,1582732,Approved
Yes,511141,207260,15,694,1203683,Rejected
No,871812,271696,15,723,795617,Approved
No,575001,144704,10,738,1391606,Approved
Yes,425388,166603,20,868,853986,Rejected
No,868801,206886,20,789,695330,Approved
No,701998,328081,15,729,1279189,Rejected
No,869151,179576,20,648,1107971,Rejected
No,704194,183063,10,729,844511,Approved
No,836681,305239,15,722,897050,Rejected
No,704035,354759,10,635,1155816,Rejected
No,474062,344235,10,702,749077,Rejected
No,819721,168737,10,731,1046311,Approved
No,898479,32502,10,731,683411,Approved
Yes,574840,260516,15,777,1642147,Rejected
Yes,550550,250822,10,801,772167,Rejected
No,874696,194682,10,685,1073838,Rejected
Yes,754179,306590,15,708,841460,Rejected
No,673996,49959,10,691,1033877,Rejected
No,551760,159774,15,639,730507,Rejected
No,502494,187221,15,759,1139470,Rejected
No,719821,60865,10,756,853664,Approved
No,847581,218732,20,657,857674,Rejected
Yes,564030,265175,10,615,1096333,Rejected
Yes,765385,301237,10,726,778481,Rejected
No,768028,234530,15,740,1255082,Approved
Yes,660044,246245,10,643,1331294,Rejected
No,651684,225908,10,719,869464,Rejected
No,598638,243640,20,748,612360,Rejected
No,820680,129189,10,725,1988188,Approved
Yes,1101154,255261,20,753,1193191,Approved
No,1140729,140610,15,695,1123745,Rejected
No,762633,63014,20,712,1326279,Approved
No,714771,231015,10,768,1448409,Approved
Yes,814298,83507,15,747,1461035,Approved
Yes,857228,197392,15,693,1047653,Rejected
No,642755,160326,10,685,770736,Rejected
No,764996,170120,10,728,1670318,Approved
No,506406,254711,10,649,1242465,Rejected
No,742702,300050,15,698,519197,Rejected
No,578326,324458,10,668,1177530,Rejected
No,879962,201272,15,746,416114,Approved
No,893523,279355,10,717,1091151,Approved
Yes,486085,188549,20,657,1281329,Rejected
Yes,609638,292197,15,789,643633,Rejected
Yes,510233,240202,15,763,1775350,Rejected
Yes,707207,308327,20,693,1141018,Rejected
No,1168304,287333,15,675,1400444,Rejected
No,561340,54516,10,750,-327880,Rejected
Yes,825373,275612,10,674,1087683,Rejected
Yes,964681,89802,20,770,599220,Approved
No,965177,116720,20,756,773374,Approved
Yes,819364,124060,20,700,944354,Approved
No,508465,227597,15,806,652647,Rejected
No,516809,161007,20,740,1099034,Approved
Yes,608965,200851,20,654,1089336,Rejected
No,359444,178286,15,624,1916317,Rejected
No,981150,158926,10,730,913537,Approved
Yes,562422,125449,15,681,1142576,Rejected
No,598552,335463,15,633,2173122,Rejected
Yes,655776,172981,15,664,346205,Rejected
No,740132,205113,15,690,-21395,Rejected
Yes,845968,364230,20,694,821678,Rejected
No,1161037,219220,10,793,901292,Approved
No,1022450,129920,10,751,1039796,Approved
Yes,726562,274165,20,732,572381,Rejected
No,899373,174129,20,756,555169,Approved
Yes,826557,148660,10,783,861619,Approved
No,596593,241419,15,678,449717,Rejected
No,1098067,122975,15,741,986083,Approved
No,624106,148552,10,695,652498,Rejected
No,586263,188556,10,650,1164522,Rejected
No,519358,308969,10,702,727287,Rejected
Yes,1078337,169504,10,714,1454539,Approved
No,421994,185572,10,783,1807418,Rejected
Yes,877835,259449,15,803,1491177,Approved
No,525115,218232,10,707,1268208,Rejected
Yes,835850,267671,10,769,430292,Rejected
No,244652,140790,15,735,1185971,Rejected
Yes,1211090,278197,20,658,1010123,Rejected
No,705641,360876,10,664,39481,Rejected
No,869262,187155,15,713,1324192,Approved
No,837157,287685,15,654,1223065,Rejected
Yes,940521,186693,10,739,1183344,Approved
No,843490,181067,10,880,1025689,Approved
No,693228,179994,15,820,1542804,Approved
No,675502,257053,10,780,1537688,Rejected
Yes,576789,266174,10,715,1648349,Rejected
No,818153,307709,15,794,411698,Rejected
Yes,505532,147004,10,726,1516012,Approved
No,662882,265625,15,714,947614,Rejected
No,875905,203186,10,771,769650,Approved
Yes,582016,268409,10,713,1163171,Rejected
No,832618,82327,10,680,1228217,Rejected
No,739737,146501,10,624,764487,Rejected
No,880188,247994,10,787,1047667,Approved
Yes,643743,281025,15,744,1515579,Rejected
No,831223,166148,10,776,695661,Approved
Yes,534242,258069,15,749,680106,Rejected
Yes,1186332,186726,10,638,208035,Rejected
No,520147,139308,15,698,943747,Rejected
No,823952,287966,10,722,703606,Rejected
No,772669,257697,10,738,455989,Rejected
No,479362,176077,20,687,1896285,Rejected
Yes,477854,79515,10,713,1260507,Approved
No,722059,212717,10,679,845741,Rejected
No,472965,196045,15,703,824967,Rejected
No,610689,275121,10,739,999056,Rejected
No,654491,184457,15,710,1412444,Approved
No,889301,215970,15,772,1031613,Approved
No,751591,261202,15,685,1571755,Rejected
No,509239,179593,15,630,871720,Rejected
No,733185,176069,10,757,1135195,Approved
Yes,1040963,229592,15,773,1607981,Approved
No,491842,145377,20,797,1394905,Approved
Yes,545596,244097,10,698,889628,Rejected
No,687524,180120,10,741,711457,Approved
Yes,820822,148441,10,702,691832,Approved
No,522715,145108,20,729,853060,Approved
No,610795,174906,15,683,1084233,Rejected
No,1022390,166767,10,709,468774,Approved
Yes,888124,244352,10,801,396558,Rejected
No,893074,198089,15,680,1415532,Rejected
No,759884,211744,10,783,814091,Approved
No,745022,370852,10,675,1091973,Rejected
No,548141,330479,10,722,560289,Rejected
No,755367,371859,10,754,740517,Rejected
Yes,511833,262206,10,609,1469317,Rejected
Yes,889797,121856,15,769,1165343,Approved
No,855096,160350,15,728,1251084,Approved
Yes,689648,122929,20,689,1320967,Rejected
No,597258,125969,10,732,799678,Approved
No,962552,204492,20,728,519551,Approved
No,792775,267381,15,652,1161820,Rejected
Yes,735925,226619,15,724,1156493,Approved
Yes,1048232,226266,15,770,506445,Approved
No,870127,182130,10,714,1188144,Approved
No,722667,284740,15,741,870060,Rejected
No,868541,244790,10,742,1072397,Approved
No,875702,321827,15,703,1251154,Rejected
Yes,871345,279962,20,775,1055183,Approved
No,788891,-18752,20,759,950104,Approved
No,660348,141072,20,658,1123836,Rejected
No,872494,193216,10,639,462127,Rejected
Yes,462441,202499,10,831,1026974,Rejected
Yes,775607,272449,15,643,1828725,Rejected
No,472973,98872,10,820,1191773,Approved
No,1035440,171692,20,722,286397,Rejected
No,928224,162004,10,776,1157217,Approved
Yes,740801,140318,10,662,952911,Rejected
Yes,977667,143530,20,757,1300440,Approved
No,572854,133790,15,742,1632910,Approved
Yes,976587,187864,15,721,834183,Approved
No,613024,274859,15,782,542267,Rejected
No,576692,178622,15,686,690522,Rejected
No,366055,184852,10,745,642765,Rejected
No,810001,275370,15,705,818287,Rejected
No,913175,323191,15,757,1116952,Rejected
Yes,517823,140240,10,812,603600,Approved
Yes,343879,128160,15,752,1521184,Rejected
No,728358,339599,10,672,347063,Rejected
No,648660,140857,20,727,400467,Approved
No,728462,234142,10,673,1133578,Rejected
Yes,1125963,176721,15,703,958182,Approved
No,764900,335415,10,660,1559473,Rejected
No,552779,159950,15,734,934697,Approved
No,796322,346637,15,717,1144162,Rejected
No,662601,154500,20,789,855214,Approved
No,645313,203973,15,700,1382483,Approved
Yes,832367,182140,15,738,1236823,Approved
Yes,720738,248941,10,752,1149374,Rejected
No,615153,282817,10,787,1288492,Rejected
No,747242,265170,10,751,931977,Rejected
No,714563,200400,15,746,901845,Approved
No,952750,331558,15,675,903014,Rejected
No,742714,199232,10,687,1338170,Rejected
No,462777,288602,15,721,938535,Rejected
Yes,1133531,140438,15,796,1534081,Approved
No,916826,185575,15,710,1105201,Approved
Yes,1228954,357081,20,739,291822,Rejected
No,814842,244023,15,718,1495126,Approved
No,617560,196138,10,602,697874,Rejected
No,1009294,167313,10,764,761508,Approved
No,909486,334816,15,755,942515,Rejected
No,1171470,176463,15,774,971114,Approved
No,596731,80432,10,719,1175147,Approved
No,337333,70462,10,755,1099264,Approved
No,864375,97001,10,695,285372,Rejected
Yes,741740,59670,15,749,399255,Approved
No,630685,208957,15,652,1489857,Rejected
No,924868,262071,15,713,1266858,Approved
No,637561,203641,15,724,847269,Approved
Yes,506826,173888,15,709,899650,Rejected
Yes,474549,172823,10,703,289857,Rejected
No,514287,230388,15,640,846521,Rejected
No,602751,215680,10,768,735645,Rejected
Yes,881598,159974,15,750,608397,Approved
No,820322,281706,10,832,1330426,Rejected
Yes,773062,217503,20,724,1175049,Approved
No,594951,108986,15,717,1254042,Approved
No,601819,166237,15,690,1622824,Rejected
No,562982,163766,10,634,792296,Rejected
No,1080602,274325,10,733,669907,Approved
No,1024683,151318,10,714,1542626,Approved
No,675383,52064,15,730,869600,Approved
No,723932,101913,10,706,770921,Approved
No,1066166,124100,10,778,917335,Approved
No,1065228,304893,20,807,1536123,Approved
No,841723,235243,10,684,1414724,Rejected
No,843300,161845,15,725,1252660,Approved
Yes,702767,273367,10,711,1044374,Rejected
Yes,524524,185837,10,673,1504500,Rejected
No,657154,287740,10,701,558092,Rejected
Yes,577210,244442,10,734,1560766,Rejected
Yes,757144,257402,20,700,1508938,Rejected
No,976042,170747,20,648,493631,Rejected
No,717044,153545,10,704,1456584,Approved
No,630538,207688,15,659,994545,Rejected
No,789375,57853,15,680,784317,Rejected
No,680956,207872,15,702,1279883,Approved
Yes,446232,331173,10,653,929886,Rejected
No,674985,188107,10,794,635221,Approved
No,1093601,331100,15,753,831021,Approved
No,1061259,250081,15,770,832612,Approved
No,919454,193221,15,641,371777,Rejected
No,604053,263354,10,718,1555357,Rejected
No,718301,155053,10,684,397441,Rejected
Yes,523169,214913,15,615,1069973,Rejected
No,972475,212500,15,748,607565,Approved
No,686240,136409,20,763,1376463,Approved
No,1041115,159483,15,724,545503,Approved
No,697128,215615,10,705,907672,Approved
Yes,836607,187677,20,660,1321971,Rejected
No,703119,257004,15,798,806092,Rejected
No,553149,311580,20,791,859249,Rejected
No,665554,303707,15,741,534418,Rejected
Yes,761234,202838,10,795,1537255,Approved
Yes,452751,151763,15,694,802486,Rejected
No,972283,197795,15,664,643958,Rejected
No,1060975,175047,15,610,621814,Rejected
No,610811,209325,15,746,1227327,Rejected
No,655195,174593,10,779,1025658,Approved
Yes,560123,211408,15,772,1278687,Rejected
Yes,859803,142933,10,772,552380,Approved
No,1095857,298414,10,754,1268267,Approved
No,961662,85749,10,728,1175694,Approved
No,1110289,154227,15,748,972176,Approved
Yes,388007,98784,10,810,1362829,Approved
No,713898,307478,20,665,1366917,Rejected
No,632309,211611,10,695,764053,Rejected
No,848896,307218,10,871,1000724,Rejected
No,409585,170508,15,690,763683,Rejected
No,1026121,251458,10,736,1469120,Approved
No,813630,258909,15,669,1663085,Rejected
Yes,668137,194368,15,788,938689,Approved
No,814098,207449,10,677,1269304,Rejected
No,599602,210757,15,624,1035740,Rejected
Yes,742304,208863,10,730,1013658,Approved
No,1024721,120415,15,752,1226291,Approved
No,1007701,273576,15,754,952995,Approved
No,332505,178529,15,749,451132,Rejected
Yes,840919,168378,20,769,1535012,Approved
No,673445,265620,10,812,728431,Rejected
No,796998,210035,10,590,919742,Rejected
Yes,686600,327393,10,712,1648276,Rejected
No,962342,109589,15,773,1660624,Approved
No,982990,223497,15,635,607160,Rejected
Yes,1062977,293071,15,682,719407,Rejected
No,320384,303552,10,659,617763,Rejected
No,643224,199730,15,632,1581367,Rejected
Yes,1158047,243890,15,783,1144621,Approved
Yes,551003,222754,10,791,1447044,Rejected
No,635768,196369,10,730,1134887,Approved
No,608122,164243,10,707,1604754,Approved
No,770588,94350,10,671,1289187,Rejected
No,704603,243084,20,615,166708,Rejected
No,918085,265437,10,755,785916,Approved
Yes,797802,203820,15,750,1748525,Approved
No,706229,259174,15,706,1565341,Rejected
Yes,1050992,174183,10,691,1542201,Rejected
No,806926,220381,10,648,1148705,Rejected
Yes,603541,287819,15,685,803099,Rejected
Yes,379585,211976,20,664,265435,Rejected
No,482160,173496,20,764,624916,Rejected
No,795704,102778,10,775,911302,Approved
No,770896,348934,10,750,2242624,Rejected
Yes,653140,201465,10,750,559482,Approved
No,692506,201756,20,673,822104,Rejected
No,807090,156143,10,757,1669817,Approved
No,1118273,159406,20,672,306995,Rejected
No,282949,167606,10,659,1230851,Rejected
Yes,652252,175095,15,643,1178489,Rejected
No,860370,99742,15,822,1043070,Approved
No,1037569,161866,20,760,778754,Approved
No,586129,216982,10,700,1087081,Rejected
No,899897,171316,20,668,1469178,Rejected
Yes,602700,293234,15,646,518314,Rejected
No,611434,320473,10,720,1374289,Rejected
Yes,948647,308828,20,738,1536645,Approved
No,578185,260521,20,654,1242098,Rejected
No,725643,226411,15,712,1130987,Approved
No,734533,221330,10,670,1050252,Rejected
Yes,702657,296831,15,751,1065088,Rejected
No,608947,283275,20,701,1588218,Rejected
No,918785,69431,15,738,1749419,Approved
Yes,1084238,265605,15,700,-91241,Rejected
Yes,367534,167497,10,662,417996,Rejected
No,1090890,196915,15,715,984452,Approved
No,943327,270832,10,687,882589,Rejected
No,902439,163048,15,615,1039023,Rejected
No,678564,259442,20,800,469734,Rejected
Yes,600853,192202,15,711,1074330,Approved
No,707219,180963,10,720,739539,Approved
No,813574,303000,15,677,1219478,Rejected
No,906035,233543,20,656,749167,Rejected
No,1155051,121202,20,723,799433,Approved
No,862021,142564,20,727,1156215,Approved
No,751643,126352,15,753,991627,Approved
No,585064,250760,15,760,289498,Rejected
No,675169,232893,10,725,857433,Rejected
No,913849,61955,15,805,759756,Approved
No,1071435,117809,15,733,898326,Approved
Yes,876791,193395,10,746,630226,Approved
Yes,896930,185140,10,751,1515216,Approved
No,934512,266348,15,863,1257116,Approved
No,621216,165186,15,696,1152675,Rejected
No,561145,196687,10,629,762088,Rejected
No,873212,422691,15,759,1465284,Rejected
Yes,413581,285241,10,709,1325066,Rejected
No,885339,125393,15,722,1219411,Approved
No,801603,-1912,20,721,1331276,Approved
No,934327,192988,15,703,1198232,Approved
No,619476,260688,10,685,1477769,Rejected
Yes,849010,298776,10,803,1089204,Rejected
No,768489,137611,20,783,2120815,Approved
No,833755,186666,15,708,1042298,Approved
No,916665,199173,10,798,493259,Approved
No,598214,188505,20,780,568831,Approved
No,968252,208815,15,651,962175,Rejected
No,999039,150318,15,682,1301243,Rejected
No,673153,234583,15,682,628445,Rejected
No,792856,198416,15,778,1254056,Approved
No,496209,178810,15,729,520228,Rejected
Yes,670379,172535,10,677,810876,Rejected
Yes,639722,115717,20,752,1097228,Approved
Yes,782458,166621,15,777,885438,Approved
Yes,489937,27619,10,816,146111,Approved
No,1093641,174763,10,751,1014829,Approved
No,422593,147018,10,721,1493164,Rejected
No,889143,361971,10,690,1426733,Rejected
No,619365,211698,15,708,1036432,Rejected
No,685535,264326,15,726,817006,Rejected
Yes,439021,122020,15,719,1287758,Approved
No,535908,221762,15,819,536225,Rejected
Yes,590477,-8890,20,687,878689,Rejected
Yes,696172,96205,15,707,394887,Approved
Yes,665499,232411,10,696,999873,Rejected
No,528056,210428,10,696,2013798,Rejected
Yes,352421,164771,20,711,712591,Rejected
No,293043,286705,15,566,808378,Rejected
No,618760,-26069,10,745,1220114,Approved
No,698743,175648,10,773,1662933,Approved
No,843415,141953,15,697,1296918,Rejected
Yes,931081,246728,15,737,734537,Approved
No,638704,280234,15,666,1226485,Rejected
No,762372,102423,20,730,1184427,Approved
No,808195,188447,20,666,618056,Rejected
Yes,973064,217205,20,740,1037298,Approved
No,775882,194814,20,717,644465,Approved
No,760556,170955,10,731,886071,Approved
No,1077130,157699,10,675,1052554,Rejected
No,737684,121667,15,701,544791,Approved
No,968081,228148,15,692,431465,Rejected
Yes,707412,284162,15,696,956504,Rejected
Yes,1243653,254931,15,835,583303,Approved
No,765210,263260,15,769,997344,Rejected
Yes,558606,294889,10,739,798806,Rejected
No,459601,170382,20,734,807226,Rejected
Yes,650228,223885,20,827,1731597,Rejected
No,836253,235899,10,685,836319,Rejected
No,835550,171231,15,621,573956,Rejected
No,869596,275769,15,624,793010,Rejected
Yes,727708,384881,15,796,1527378,Rejected
No,446381,229733,10,695,940612,Rejected
No,628489,279638,10,705,1424001,Rejected
No,675194,105897,10,692,354558,Rejected
No,699938,323425,15,708,1204756,Rejected
No,783409,126455,15,597,780386,Rejected
No,1057604,85462,10,731,1337656,Approved
No,622047,273577,20,718,1083729,Rejected
No,826343,206711,15,738,1709714,Approved
No,889271,68942,20,748,923766,Approved
No,749132,169233,10,672,1398046,Rejected
Yes,805612,219494,15,852,1039571,Approved
No,516235,216048,15,651,890035,Rejected
No,733376,202236,15,676,754285,Rejected
No,1128777,141206,15,731,537123,Approved
No,1028967,88199,20,681,1094106,Rejected
Yes,474296,196297,10,608,972145,Rejected
No,643697,214326,10,691,982126,Rejected
No,760224,50691,15,715,712412,Approved
No,885597,178822,15,744,902741,Approved
No,715989,180282,20,641,1616523,Rejected
No,874834,204282,20,734,1178227,Approved
No,789584,135997,15,709,2142997,Approved
No,650558,203172,15,683,1023806,Rejected
No,830730,309025,15,682,613110,Rejected
Yes,773030,255042,15,674,1494192,Rejected
No,800316,180419,20,797,1216962,Approved
Yes,684605,182914,15,589,1106663,Rejected
No,299626,145959,10,740,1005085,Rejected
No,597789,280721,10,723,1257306,Rejected
No,840363,227419,15,780,636844,Approved
No,838871,181540,20,677,1061160,Rejected
No,565797,199302,15,745,1233851,Rejected
Yes,472014,260698,15,749,888055,Rejected
Yes,883473,412096,20,769,1235726,Rejected
Yes,498589,61966,10,806,1190431,Approved
Yes,480601,250407,15,774,367845,Rejected
No,973638,204491,20,707,909934,Approved
No,485476,90464,15,771,1550823,Approved
Yes,692563,275054,15,717,561417,Rejected
Yes,709420,220616,10,739,1408293,Approved
No,967777,215903,20,700,506789,Approved
Yes,798457,94607,15,722,345703,Approved
No,474207,200019,15,670,1216790,Rejected
No,690223,133149,10,840,1103594,Approved
No,775953,233242,15,685,1275178,Rejected
Yes,531499,305352,20,653,1519307,Rejected
Yes,874350,263275,10,701,1545935,Approved
No,983856,261280,20,698,1236673,Rejected
No,313436,221123,20,825,1013186,Rejected
No,1014391,101634,20,657,1265165,Rejected
No,853813,263637,15,806,1005916,Approved
No,631716,198900,10,694,886670,Rejected
No,540587,214750,15,633,2064169,Rejected
No,642979,323125,10,698,560306,Rejected
No,385306,170187,20,689,1450100,Rejected
No,1213325,245062,20,674,1429396,Rejected
Yes,1035315,313642,20,764,280376,Rejected
No,474220,224895,20,662,350185,Rejected
Yes,429729,206203,15,651,-34603,Rejected
No,657930,172173,20,762,575311,Approved
No,1071770,151870,20,699,539202,Rejected
No,643309,196213,20,634,1103840,Rejected
No,643773,172984,10,729,1043532,Approved
No,650160,268917,10,710,831637,Rejected
No,704761,282760,20,821,626176,Rejected
No,915454,194221,10,649,1123847,Rejected
Yes,1147560,186045,10,717,1467680,Approved
No,589308,177709,20,636,1429045,Rejected
No,588654,226169,10,657,1026057,Rejected
No,642321,290624,10,764,1212941,Rejected
No,639837,232097,15,800,954833,Rejected
No,949996,322836,20,658,1109219,Rejected
No,240511,241150,15,663,1260065,Rejected
No,1005575,247277,20,717,1197508,Approved
Yes,765211,234665,15,675,1316277,Rejected
No,1069332,223141,15,682,1049856,Rejected
No,251758,283415,15,704,717388,Rejected
No,1003568,279290,15,666,966491,Rejected
No,252072,273801,15,684,1358123,Rejected
No,941348,222290,20,733,1298279,Approved
No,433715,282370,20,664,1281777,Rejected
No,1133882,135492,15,720,455078,Approved
No,744259,167976,10,701,1092617,Approved
Yes,456291,216810,20,717,994465,Rejected
No,629807,201261,20,784,824017,Approved
No,788781,356126,15,709,1073550,Rejected
No,902232,292747,10,792,962867,Approved
No,780139,354890,10,726,1328832,Rejected
No,527749,178392,15,769,1452116,Rejected
Yes,774495,256872,15,725,558675,Approved
Yes,909015,100556,15,716,755481,Approved
No,715007,169961,10,765,1362902,Approved
Yes,519930,231842,10,735,1361416,Rejected
No,907921,160739,10,707,673142,Approved
Yes,771977,109560,10,693,745187,Rejected
No,984218,204093,10,772,852845,Approved
No,798983,304710,15,745,543931,Rejected
No,779384,190246,10,776,359355,Rejected
No,706058,108835,10,737,1236804,Approved
Yes,584189,62439,20,732,816835,Approved
Yes,623585,204050,15,698,1199563,Rejected
No,631447,285081,15,794,909655,Rejected
Yes,837803,159389,15,662,543947,Rejected
No,319497,59717,15,802,1285744,Approved
No,971155,-18397,20,752,1126099,Approved
No,630307,138749,15,617,1302768,Rejected
No,925038,277630,10,680,1076160,Rejected
No,1064490,332264,10,822,1217292,Approved
Yes,837859,158363,15,764,1436634,Approved
Yes,576239,283652,10,748,1350832,Rejected
No,978351,153542,10,705,1385185,Approved
No,778876,229869,15,653,822554,Rejected
Yes,573393,259063,15,654,790396,Rejected
No,785720,120287,10,689,661506,Rejected
No,970047,148660,10,700,940673,Approved
Yes,715501,154559,10,672,1038794,Rejected
No,763472,181591,10,714,837841,Approved
No,1298131,189153,20,825,1372580,Approved
Yes,645355,163046,10,742,691949,Approved
Yes,533052,147550,10,738,1432409,Approved
No,829791,190796,10,757,775571,Approved
No,1006554,236763,15,738,751826,Approved
No,820756,182392,20,705,1020572,Approved
No,544230,242396,15,701,298364,Rejected
Yes,856681,215135,20,804,1033984,Approved
No,818481,261553,10,732,954647,Approved
Yes,745839,123668,15,727,552901,Approved
Yes,494669,230142,20,712,542535,Rejected
No,1085782,222377,20,799,988800,Approved
No,770837,203063,15,725,320506,Rejected
No,957000,145526,20,724,591536,Approved
Yes,477591,291965,10,737,967457,Rejected
No,552226,282791,10,688,298269,Rejected
Yes,693183,270020,15,746,1111085,Rejected
No,930329,215803,15,660,838309,Rejected
Yes,730819,213606,15,752,904434,Approved
Yes,534033,143794,10,736,1290745,Approved
No,745460,112520,15,769,987854,Approved
Yes,711610,242144,10,638,-237229,Rejected
No,830752,302998,10,826,1589330,Rejected
No,918711,352320,15,727,545574,Rejected
No,543199,101354,15,644,1394411,Rejected
Yes,744965,205219,15,640,1203973,Rejected
Yes,842183,292803,15,773,1171873,Rejected
No,842876,237626,15,728,482026,Approved
No,370985,272796,10,638,1095687,Rejected
No,705454,384806,20,713,1843676,Rejected
No,436616,152390,15,758,360686,Rejected
Yes,736920,367470,10,727,927679,Rejected
No,570924,102733,10,782,1495126,Approved
No,584234,164999,20,715,659459,Approved
No,618572,207526,10,774,1009627,Rejected
No,1003218,230998,15,716,1484750,Approved
Yes,735146,73783,10,759,785313,Approved
No,325323,97935,15,708,665711,Approved
No,694062,375004,10,673,1274116,Rejected
No,790875,88379,10,673,1069084,Rejected
No,458878,256179,15,744,995503,Rejected
No,808272,253725,20,696,399970,Rejected
No,538686,191427,15,720,1386809,Rejected
No,856604,266366,15,744,1427108,Approved
No,793172,43754,20,760,643201,Approved
Yes,618029,207555,10,751,1369830,Rejected
No,462428,237777,15,709,898871,Rejected
No,845138,199055,15,741,982510,Approved
Yes,853587,192589,15,773,939775,Approved
No,756203,81026,15,683,1484396,Rejected
No,822485,323239,20,778,881986,Rejected
No,468874,263485,15,658,625289,Rejected
No,205703,338737,15,705,664531,Rejected
No,666805,92623,15,655,799784,Rejected
No,602283,331060,15,677,636288,Rejected
No,667546,163100,15,743,1356751,Approved
No,565244,271107,10,808,511255,Rejected
No,635143,196976,15,704,1557702,Approved
Yes,614289,50060,10,630,791973,Rejected
No,849526,116955,10,651,896887,Rejected
Yes,996229,129769,15,795,1259349,Approved
Yes,418783,341914,15,742,735490,Rejected
Yes,846911,284467,20,817,1521613,Rejected
Yes,673759,221463,20,746,1038967,Approved
No,559943,114575,10,735,837289,Approved
No,857387,169675,15,788,540830,Approved
No,900134,165498,15,688,508940,Rejected
Yes,701204,136426,10,769,1482136,Approved
No,642429,145089,15,696,385021,Rejected
No,529442,118953,15,797,525494,Approved
No,808751,333674,20,716,1251741,Rejected
Yes,937811,301357,20,738,301712,Rejected
No,430031,196386,20,717,1142142,Rejected
No,896074,128348,10,697,1420959,Rejected
No,774044,150022,15,745,785733,Approved
Yes,959944,199506,10,706,497537,Approved
No,645118,233759,10,757,965028,Rejected
No,230765,291524,10,738,1217995,Rejected
No,1155926,251977,10,699,1529814,Rejected
Yes,846702,307739,10,737,573824,Rejected
No,287774,175902,10,641,597977,Rejected
No,987058,28989,15,795,1490249,Approved
No,688080,260090,10,714,874543,Rejected
